id,Name,Entity,Main,Type,Domain,Symbol,Related to Relations (source-relation),Related to Relations (target-relation)
OMETE,Ometeotl,God,Yes,Primordial,Creation,"Spark of light, Spiral, Tree","https://www.notion.so/A-8bc560196dd542baa479f3e4b8caf4b2, https://www.notion.so/B-ed2c9a195fc24cdf8b1469073911a16f, https://www.notion.so/C-daa5d2582a5744df889462e89d9d63d6, https://www.notion.so/f24d980f26fc494181cdb720a3421ab1, https://www.notion.so/b34e6ac2a0f84a43a46169f852e911f9, https://www.notion.so/0dfd8c95c5a7450f9e02b8f27ee8c0e3, https://www.notion.so/92fe3720d00f45f79a17c3d016afd495, https://www.notion.so/5ad0da2b104f420f94e9f6b81cdc83c5","https://www.notion.so/3c3ac34e639440cbbad26e50005e3112, https://www.notion.so/93bb729ec0ca479bb7324e605667029e, https://www.notion.so/871af34b415a4dee95dad1f62cd68c5e, https://www.notion.so/0a17eba2fe1b4dc28381981f8feee6eb"
QUETZ,Quetzalcoatl,God,Yes,Creation,"Art, Wind",Breath,"https://www.notion.so/d4a8beb15b624bfd9f6f02bf90a73f23, https://www.notion.so/4e1aad88405d42ed92168c5ed2462c7c, https://www.notion.so/d4389267ff4d4cabb663d56477fd92e3, https://www.notion.so/00500eda00444bbd9a985e4ab5fccb2b, https://www.notion.so/9d444483961942a6895c2208f0cf02e8","https://www.notion.so/f24d980f26fc494181cdb720a3421ab1, https://www.notion.so/8d78bdd7b4fd4cd7b1e5a53af25c3e56, https://www.notion.so/d7207ed7a7b64e9384a52e9e4ad463fc, https://www.notion.so/587c406d90424619b80bddf6721d83ab, https://www.notion.so/f6d2da70150142688770643e8771c24b, https://www.notion.so/8c2798627e0340809700149eb320d139, https://www.notion.so/bfd10b70ec424fb8b697aa1c28a66a69, https://www.notion.so/b24f449f3e634335baf9533d61d6d450, https://www.notion.so/dd9681881f654e4687286fb072e5f8f0, https://www.notion.so/f4008f3b431f41aea63b8632532fb7b7, https://www.notion.so/b85dcbd8b3b04a759d945fce3856698d, https://www.notion.so/2da46dcbf86646169666911ff788c1f5"
TEZCA,Tezcatlipoca,God,Yes,Creation,"Destruction, Magic","All seeing eye, Fog, Mist","https://www.notion.so/2c5ef6a940f247f8b36451ebf4d243de, https://www.notion.so/8d78bdd7b4fd4cd7b1e5a53af25c3e56, https://www.notion.so/a7bd53821f2d4fd6a9b5bfee65f46de3, https://www.notion.so/d7207ed7a7b64e9384a52e9e4ad463fc","https://www.notion.so/b34e6ac2a0f84a43a46169f852e911f9, https://www.notion.so/d4389267ff4d4cabb663d56477fd92e3, https://www.notion.so/843fef8267cf4c4396ddcbb715aa38ac, https://www.notion.so/e2014a13e7ea4030a669cfb283e236e3, https://www.notion.so/b17d57784501499ab0de4176725d45f9, https://www.notion.so/b6dd18ed067040e5857387ec49be958c, https://www.notion.so/a044590f6338410b8ce5d0b15fd67ba4, https://www.notion.so/f2e1716c534e4c76bc4977fa2a55469b, https://www.notion.so/ea1d1d6a3ed348d7aa71af550e3fdb58, https://www.notion.so/10b845ceb0bc4a05af5dcd04c661bd73"
XIPET,Xipe Totec,God,Yes,Creation,Fertility,"Corn, Seed growing","https://www.notion.so/3c3ac34e639440cbbad26e50005e3112, https://www.notion.so/587c406d90424619b80bddf6721d83ab, https://www.notion.so/29aed3b13369493ba9666c5bb459a468, https://www.notion.so/843fef8267cf4c4396ddcbb715aa38ac, https://www.notion.so/348e705e5ba6492993b7ee8194d65506, https://www.notion.so/e2014a13e7ea4030a669cfb283e236e3","https://www.notion.so/0dfd8c95c5a7450f9e02b8f27ee8c0e3, https://www.notion.so/d4a8beb15b624bfd9f6f02bf90a73f23, https://www.notion.so/2c5ef6a940f247f8b36451ebf4d243de, https://www.notion.so/a7946f75290c4adaaf3cd8d626a21775, https://www.notion.so/f10a321ae1014360ae76601324e88fa3"
HUITZ,Huitzilopochtli,God,Yes,Creation,War,Sword,"https://www.notion.so/b7f23eed27ce4b37980b06dd375dde90, https://www.notion.so/93bb729ec0ca479bb7324e605667029e, https://www.notion.so/a7946f75290c4adaaf3cd8d626a21775, https://www.notion.so/b17d57784501499ab0de4176725d45f9, https://www.notion.so/f6d2da70150142688770643e8771c24b, https://www.notion.so/b6dd18ed067040e5857387ec49be958c","https://www.notion.so/4e1aad88405d42ed92168c5ed2462c7c, https://www.notion.so/C-daa5d2582a5744df889462e89d9d63d6, https://www.notion.so/a7bd53821f2d4fd6a9b5bfee65f46de3, https://www.notion.so/29aed3b13369493ba9666c5bb459a468, https://www.notion.so/50944a963a1242f1905d2ff2bd5b6c98, https://www.notion.so/2673ca8fe5aa4cee9c6224ff9d39fc41, https://www.notion.so/75c19faa701b40a9a2767cae1b676d8a, https://www.notion.so/5fda696a670d4da3a9e3e99e9e55a39d, https://www.notion.so/2a4f69f1d5474d56ab0675b835bed7ba"
TLALT,Tlaltecuhtli,God,Yes,Elemental,,,"https://www.notion.so/8c2798627e0340809700149eb320d139, https://www.notion.so/a044590f6338410b8ce5d0b15fd67ba4, https://www.notion.so/9f7cf16f424548d0824e186255705677","https://www.notion.so/5866bf2ff6d34b528cb6f8b260a001bd, https://www.notion.so/fa5b62e7537f4cb484f2f158da1535db, https://www.notion.so/8dccff6c90fd4061803defa189730375"
MICTL,Mictlantecuhtli,God,Yes,Elemental,Underworld,Skull,https://www.notion.so/dbfecd563dd54b26b15b106f6680226a,"https://www.notion.so/9d444483961942a6895c2208f0cf02e8, https://www.notion.so/b3e62c8196e7418da402a6bad7d56a66"
XIUHT,Xiuhtecuhtli,God,Yes,Elemental,"Fire, Hearth",Flame,https://www.notion.so/b3e62c8196e7418da402a6bad7d56a66,"https://www.notion.so/5ad0da2b104f420f94e9f6b81cdc83c5, https://www.notion.so/dbfecd563dd54b26b15b106f6680226a, https://www.notion.so/147593c8a41a46f8bd9f7ae7e8312f3f, https://www.notion.so/fcc17610195d4e87b35935fec426ed3d"
TLALO,Tlaloc,God,Yes,Elemental,"Rain, Water",Raindrops,"https://www.notion.so/871af34b415a4dee95dad1f62cd68c5e, https://www.notion.so/f2e1716c534e4c76bc4977fa2a55469b, https://www.notion.so/bfd10b70ec424fb8b697aa1c28a66a69, https://www.notion.so/5866bf2ff6d34b528cb6f8b260a001bd, https://www.notion.so/c8d7139976cb4d5ab0850b409c16f275","https://www.notion.so/92fe3720d00f45f79a17c3d016afd495, https://www.notion.so/00500eda00444bbd9a985e4ab5fccb2b, https://www.notion.so/9f7cf16f424548d0824e186255705677, https://www.notion.so/094d564a97df4bdeb194ee9ffec4edd7"
TONAT,Tonatiuh,God,Yes,Human God,Sun,Sun,"https://www.notion.so/b24f449f3e634335baf9533d61d6d450, https://www.notion.so/50944a963a1242f1905d2ff2bd5b6c98, https://www.notion.so/fa5b62e7537f4cb484f2f158da1535db, https://www.notion.so/2673ca8fe5aa4cee9c6224ff9d39fc41, https://www.notion.so/8dccff6c90fd4061803defa189730375, https://www.notion.so/147593c8a41a46f8bd9f7ae7e8312f3f, https://www.notion.so/dd9681881f654e4687286fb072e5f8f0",
OXOMO,Oxomoco,God,Yes,Human God,,,"https://www.notion.so/0a17eba2fe1b4dc28381981f8feee6eb, https://www.notion.so/78693d0bc4364f94ac4bdd6a7f2bb934",https://www.notion.so/A-8bc560196dd542baa479f3e4b8caf4b2
CIPAC,Cipactonal,God,Yes,Human God,,,,"https://www.notion.so/B-ed2c9a195fc24cdf8b1469073911a16f, https://www.notion.so/78693d0bc4364f94ac4bdd6a7f2bb934"
MIXCO,Mixcoatl,God,Yes,Human God,Hunting,"Bow, Spear","https://www.notion.so/f4008f3b431f41aea63b8632532fb7b7, https://www.notion.so/ea1d1d6a3ed348d7aa71af550e3fdb58, https://www.notion.so/75c19faa701b40a9a2767cae1b676d8a, https://www.notion.so/10b845ceb0bc4a05af5dcd04c661bd73, https://www.notion.so/5fda696a670d4da3a9e3e99e9e55a39d, https://www.notion.so/f10a321ae1014360ae76601324e88fa3","https://www.notion.so/348e705e5ba6492993b7ee8194d65506, https://www.notion.so/b7f23eed27ce4b37980b06dd375dde90"
YACAT,Yacatecuhtli,God,Yes,Human God,Trade,"Cacao bean, Money",https://www.notion.so/b85dcbd8b3b04a759d945fce3856698d,
XOCHI,Xochipilli,God,Yes,Human God,,,"https://www.notion.so/e6e56e350dda43779d81e259ce61c2a1, https://www.notion.so/094d564a97df4bdeb194ee9ffec4edd7","https://www.notion.so/c8d7139976cb4d5ab0850b409c16f275, https://www.notion.so/0ec269ede5e44761b28b5e20659357e9"
TETEO,Teteo Innan,God,Yes,Human God,"Birth, Hearth","Globe, Venus Figure","https://www.notion.so/fcc17610195d4e87b35935fec426ed3d, https://www.notion.so/2a4f69f1d5474d56ab0675b835bed7ba",
MAYAH,Mayahuel,God,Yes,Human God,"Alcohol, Pleasure, Pulque",Agave,"https://www.notion.so/0ec269ede5e44761b28b5e20659357e9, https://www.notion.so/2da46dcbf86646169666911ff788c1f5",https://www.notion.so/e6e56e350dda43779d81e259ce61c2a1
,Monsters,Monster,Yes,Human God,,,,